Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Team
Yuta Watanabe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Team Totals,265,42,91,.462,16,34,.471,24,33,.727,12,36,48,20,7,5,14,26,124,,Toronto
Mikal Bridges,46:30,13,24,.542,4,8,.500,4,6,.667,0,6,6,1,0,0,4,2,34,-6,LA Lakers
Spencer Dinwiddie,44:31,11,24,.458,3,7,.429,4,6,.667,1,2,3,11,1,0,1,3,29,+6,LA Lakers
Dorian Finney-Smith,37:25,3,9,.333,2,5,.400,3,4,.750,3,2,5,2,3,1,0,4,11,-3,LA Lakers
Nic Claxton,35:25,5,6,.833,0,0,,1,2,.500,4,5,9,3,0,4,3,6,11,+7,LA Lakers
Cameron Johnson,34:25,3,8,.375,2,4,.500,7,9,.778,1,7,8,0,0,0,3,3,15,-4,LA Lakers
Royce O'Neale,36:21,3,11,.273,3,5,.600,3,4,.750,3,12,15,2,3,0,2,5,12,-6,LA Lakers
Seth Curry,17:14,4,7,.571,2,4,.500,1,1,1.000,0,2,2,1,0,0,0,1,11,+7,LA Lakers
Joe Harris,7:51,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,+5,LA Lakers
Cam Thomas,5:18,0,1,.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,0,1,-1,LA Lakers
David Duke Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Nerlens Noel,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Day'Ron Sharpe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Edmond Sumner,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Yuta Watanabe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,LA Lakers
Team Totals,265,42,91,.462,16,34,.471,24,33,.727,12,36,48,20,7,5,14,26,124,,LA Lakers
Jerami Grant,42:06,8,13,.615,3,6,.500,5,8,.625,2,8,10,2,1,0,1,3,24,+7,Toronto
Damian Lillard,38:43,6,15,.400,2,8,.250,8,8,1.000,0,6,6,11,0,0,2,2,22,+3,Toronto
Anfernee Simons,29:18,13,22,.591,8,12,.667,0,1,.000,0,1,1,2,0,0,0,1,34,-3,Toronto
Jusuf Nurkić,25:53,5,8,.625,0,2,.000,1,5,.200,0,5,5,5,1,0,0,4,11,+9,Toronto
Matisse Thybulle,19:23,2,4,.500,1,3,.333,0,0,,0,2,2,1,1,1,0,0,5,+14,Toronto
Cam Reddish,36:02,6,11,.545,1,4,.250,1,2,.500,0,2,2,1,2,0,4,1,14,-2,Toronto
Drew Eubanks,22:07,2,5,.400,0,0,,4,4,1.000,1,5,6,1,0,2,1,2,8,-10,Toronto
Shaedon Sharpe,17:14,0,0,,0,0,,1,2,.500,1,1,2,1,1,0,0,2,1,-19,Toronto
Nassir Little,9:14,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,2,0,-4,Toronto
Keon Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Kevin Knox,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Jabari Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Trendon Watford,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Toronto
Team Totals,240,42,80,.525,15,36,.417,20,30,.667,5,31,36,24,6,3,9,17,119,,Toronto
Jerami Grant,42:06,8,13,.615,3,6,.500,5,8,.625,2,8,10,2,1,0,1,3,24,+7,LA Lakers
Damian Lillard,38:43,6,15,.400,2,8,.250,8,8,1.000,0,6,6,11,0,0,2,2,22,+3,LA Lakers
Anfernee Simons,29:18,13,22,.591,8,12,.667,0,1,.000,0,1,1,2,0,0,0,1,34,-3,LA Lakers
Jusuf Nurkić,25:53,5,8,.625,0,2,.000,1,5,.200,0,5,5,5,1,0,0,4,11,+9,LA Lakers
Matisse Thybulle,19:23,2,4,.500,1,3,.333,0,0,,0,2,2,1,1,1,0,0,5,+14,LA Lakers
Cam Reddish,36:02,6,11,.545,1,4,.250,1,2,.500,0,2,2,1,2,0,4,1,14,-2,LA Lakers
Drew Eubanks,22:07,2,5,.400,0,0,,4,4,1.000,1,5,6,1,0,2,1,2,8,-10,LA Lakers
